CTYNAME,attendance,pop2022,fips
Anderson,3322,79051,47001
Bedford,1434,51414,47003
Benton,252,15902,47005
Bledsoe,883,15607,47007
Blount,19030,138359,47009
Bradley,12272,111290,47011
Campbell,714,39983,47013
Cannon County,343,15392,47015
Carroll,346,27143,47017
Carter,2400,56313,47019
Cheatham,3906,41162,47021
Chester,182,17453,47023
Claiborne,419,32286,47025
Clay County,50,7429,47027
Cocke,765,36442,47029
Coffee,2148,58449,47031
Crockett,205,14032,47033
Cumberland,966,62866,47035
Davidson,119638,705028,47037
Decatur,210,11555,47039
DeKalb County,630,21561,47041
Dickson,2820,55454,47043
Dyer,439,36778,47045
Fayette,3746,42864,47047
Fentress,92,19126,47049
Franklin,1322,43027,47051
Gibson,750,49019,47053
Giles County,587,29518,47055
Grainger,4023,23869,47057
Greene,4076,68784,47059
Grundy,1044,13664,47061
Hamblen,2689,65849,47063
Hamilton County,107636,378337,47065
Hancock County,168,6797,47067
Hardeman,697,24372,47069
Hardin,287,25529,47071
Hawkins,1707,57005,47073
Haywood,919,17175,47075
Henderson County,446,28519,47077
Henry,413,32372,47079
Hickman,820,25691,47081
Houston County,414,8102,47083
Humphreys,786,18675,47085
Jackson,125,11813,47087
Jefferson County,4327,55944,47089
Johnson,477,17830,47091
Knox,7152,482478,47093
Lake,32,5843,47095
Lauderdale County,57,24541,47097
Lawrence,939,45255,47099
Lewis County,280,12850,47101
Lincoln,604,34897,47103
Loudon,2535,57026,47105
Macon,310,25541,47107
Madison,1987,99127,47109
Marion County,4683,29834,47111
Marshall,843,36082,47113
Maury,9172,102729,47115
McMinn County,3002,55168,47117
McNairy,608,25286,47119
Meigs,825,12797,47121
Monroe,1500,47373,47123
Montgomery,11523,220036,47125
Moore,95,6581,47127
Morgan,378,21010,47129
Obion,108,29454,47131
Overton,350,22760,47133
Perry,71,8154,47135
Pickett,71,5033,47137
Polk,1315,16574,47139
Putnam,3353,85087,47141
Rhea,3149,33935,47143
Roane County,1385,53754,47145
Robertson,3436,73715,47147
Rutherford,18337,355199,47149
Scott,185,22188,47151
Sequatchie County,1389,15431,47153
Sevier,6562,99315,47155
Shelby,200337,939569,47157
Smith,537,20691,47159
Stewart County,235,14003,47161
Sullivan County,20734,160595,47163
Sumner,16812,202662,47165
Tipton,4370,61668,47167
Trousdale County,300,12037,47169
Unicoi,1978,18066,47171
Union County,1249,20821,47173
Van Buren County,145,6199,47175
Warren County,862,42630,47177
Washington County,26953,131517,47179
Wayne,131,16787,47181
Weakley,270,33073,47183
White County,648,28122,47185
Williamson,37243,257714,47187
Wilson County,12939,155766,47189
