CTYNAME,attendance,pop2022,fips
Anderson,391,79051,47001
Bedford,230,51414,47003
Benton,22,15902,47005
Bledsoe,656,15607,47007
Blount,760,138359,47009
Bradley,12093,111290,47011
Campbell,65,39983,47013
Cannon County,96,15392,47015
Carroll,69,27143,47017
Carter,35,56313,47019
Cheatham,182,41162,47021
Chester,39,17453,47023
Claiborne,52,32286,47025
Clay County,17,7429,47027
Cocke,78,36442,47029
Coffee,1082,58449,47031
Crockett,22,14032,47033
Cumberland,527,62866,47035
Davidson,3464,705028,47037
Decatur,78,11555,47039
DeKalb County,87,21561,47041
Dickson,234,55454,47043
Dyer,39,36778,47045
Fayette,13,42864,47047
Fentress,78,19126,47049
Franklin,829,43027,47051
Gibson,91,49019,47053
Giles County,122,29518,47055
Grainger,43,23869,47057
Greene,126,68784,47059
Grundy,719,13664,47061
Hamblen,169,65849,47063
Hamilton County,106316,378337,47065
Hancock County,9,6797,47067
Hardeman,9,24372,47069
Hardin,69,25529,47071
Hawkins,74,57005,47073
Haywood,4,17175,47075
Henderson County,52,28519,47077
Henry,48,32372,47079
Hickman,65,25691,47081
Houston County,48,8102,47083
Humphreys,65,18675,47085
Jackson,26,11813,47087
Jefferson County,130,55944,47089
Johnson,4,17830,47091
Knox,4107,482478,47093
Lake,13,5843,47095
Lauderdale County,4,24541,47097
Lawrence,174,45255,47099
Lewis County,22,12850,47101
Lincoln,243,34897,47103
Loudon,685,57026,47105
Macon,78,25541,47107
Madison,278,99127,47109
Marion County,4591,29834,47111
Marshall,95,36082,47113
Maury,690,102729,47115
McMinn County,2444,55168,47117
McNairy,30,25286,47119
Meigs,813,12797,47121
Monroe,1021,47373,47123
Montgomery,994,220036,47125
Moore,43,6581,47127
Morgan,100,21010,47129
Obion,39,29454,47131
Overton,126,22760,47133
Perry,9,8154,47135
Pickett,9,5033,47137
Polk,1288,16574,47139
Putnam,834,85087,47141
Rhea,3101,33935,47143
Roane County,551,53754,47145
Robertson,182,73715,47147
Rutherford,1945,355199,47149
Scott,78,22188,47151
Sequatchie County,1376,15431,47153
Sevier,506,99315,47155
Shelby,990,939569,47157
Smith,56,20691,47159
Stewart County,48,14003,47161
Sullivan County,260,160595,47163
Sumner,1169,202662,47165
Tipton,78,61668,47167
Trousdale County,30,12037,47169
Unicoi,30,18066,47171
Union County,35,20821,47173
Van Buren County,140,6199,47175
Warren County,479,42630,47177
Washington County,269,131517,47179
Wayne,56,16787,47181
Weakley,17,33073,47183
White County,378,28122,47185
Williamson,2552,257714,47187
Wilson County,742,155766,47189
