CTYNAME,attendance,pop2022,fips
Anderson,15,79051,47001
Bedford,1901,51414,47003
Benton,4,15902,47005
Bledsoe,7,15607,47007
Blount,28,138359,47009
Bradley,14,111290,47011
Campbell,,39983,47013
Cannon County,974,15392,47015
Carroll,,27143,47017
Carter,3,56313,47019
Cheatham,96,41162,47021
Chester,,17453,47023
Claiborne,,32286,47025
Clay County,,7429,47027
Cocke,,36442,47029
Coffee,1567,58449,47031
Crockett,4,14032,47033
Cumberland,10,62866,47035
Davidson,3828,705028,47037
Decatur,5,11555,47039
DeKalb County,572,21561,47041
Dickson,131,55454,47043
Dyer,23,36778,47045
Fayette,,42864,47047
Fentress,6,19126,47049
Franklin,265,43027,47051
Gibson,7,49019,47053
Giles County,52,29518,47055
Grainger,3,23869,47057
Greene,2,68784,47059
Grundy,57,13664,47061
Hamblen,2,65849,47063
Hamilton County,100,378337,47065
Hancock County,,6797,47067
Hardeman,12,24372,47069
Hardin,7,25529,47071
Hawkins,,57005,47073
Haywood,2,17175,47075
Henderson County,3,28519,47077
Henry,9,32372,47079
Hickman,480,25691,47081
Houston County,22,8102,47083
Humphreys,15,18675,47085
Jackson,10,11813,47087
Jefferson County,11,55944,47089
Johnson,,17830,47091
Knox,69,482478,47093
Lake,2,5843,47095
Lauderdale County,,24541,47097
Lawrence,93,45255,47099
Lewis County,10,12850,47101
Lincoln,129,34897,47103
Loudon,1,57026,47105
Macon,341,25541,47107
Madison,15,99127,47109
Marion County,154,29834,47111
Marshall,602,36082,47113
Maury,2098,102729,47115
McMinn County,1,55168,47117
McNairy,9,25286,47119
Meigs,,12797,47121
Monroe,6,47373,47123
Montgomery,173,220036,47125
Moore,18,6581,47127
Morgan,6,21010,47129
Obion,10,29454,47131
Overton,15,22760,47133
Perry,,8154,47135
Pickett,2,5033,47137
Polk,2,16574,47139
Putnam,305,85087,47141
Rhea,24,33935,47143
Roane County,20,53754,47145
Robertson,175,73715,47147
Rutherford,45476,355199,47149
Scott,2,22188,47151
Sequatchie County,3,15431,47153
Sevier,26,99315,47155
Shelby,95,939569,47157
Smith,588,20691,47159
Stewart County,13,14003,47161
Sullivan County,17,160595,47163
Sumner,1631,202662,47165
Tipton,10,61668,47167
Trousdale County,64,12037,47169
Unicoi,,18066,47171
Union County,4,20821,47173
Van Buren County,3,6199,47175
Warren County,817,42630,47177
Washington County,17,131517,47179
Wayne,4,16787,47181
Weakley,3,33073,47183
White County,172,28122,47185
Williamson,6381,257714,47187
Wilson County,5438,155766,47189
