CTYNAME,attendance,pop2022,fips
Anderson,245,79051,47001
Bedford,6,51414,47003
Benton,0,15902,47005
Bledsoe,2,15607,47007
Blount,224,138359,47009
Bradley,19,111290,47011
Campbell,27,39983,47013
Cannon County,,15392,47015
Carroll,14,27143,47017
Carter,2349,56313,47019
Cheatham,31,41162,47021
Chester,,17453,47023
Claiborne,65,32286,47025
Clay County,,7429,47027
Cocke,236,36442,47029
Coffee,8,58449,47031
Crockett,,14032,47033
Cumberland,22,62866,47035
Davidson,191,705028,47037
Decatur,6,11555,47039
DeKalb County,,21561,47041
Dickson,2,55454,47043
Dyer,,36778,47045
Fayette,,42864,47047
Fentress,,19126,47049
Franklin,13,43027,47051
Gibson,,49019,47053
Giles County,7,29518,47055
Grainger,3098,23869,47057
Greene,3766,68784,47059
Grundy,,13664,47061
Hamblen,1054,65849,47063
Hamilton County,145,378337,47065
Hancock County,159,6797,47067
Hardeman,,24372,47069
Hardin,,25529,47071
Hawkins,1569,57005,47073
Haywood,,17175,47075
Henderson County,,28519,47077
Henry,,32372,47079
Hickman,2,25691,47081
Houston County,5,8102,47083
Humphreys,,18675,47085
Jackson,,11813,47087
Jefferson County,269,55944,47089
Johnson,461,17830,47091
Knox,1376,482478,47093
Lake,,5843,47095
Lauderdale County,,24541,47097
Lawrence,3,45255,47099
Lewis County,,12850,47101
Lincoln,3,34897,47103
Loudon,70,57026,47105
Macon,,25541,47107
Madison,11,99127,47109
Marion County,12,29834,47111
Marshall,,36082,47113
Maury,14,102729,47115
McMinn County,3,55168,47117
McNairy,,25286,47119
Meigs,,12797,47121
Monroe,20,47373,47123
Montgomery,36,220036,47125
Moore,,6581,47127
Morgan,42,21010,47129
Obion,,29454,47131
Overton,11,22760,47133
Perry,,8154,47135
Pickett,7,5033,47137
Polk,6,16574,47139
Putnam,34,85087,47141
Rhea,7,33935,47143
Roane County,68,53754,47145
Robertson,12,73715,47147
Rutherford,118,355199,47149
Scott,,22188,47151
Sequatchie County,8,15431,47153
Sevier,285,99315,47155
Shelby,39,939569,47157
Smith,2,20691,47159
Stewart County,,14003,47161
Sullivan County,20202,160595,47163
Sumner,30,202662,47165
Tipton,8,61668,47167
Trousdale County,,12037,47169
Unicoi,1938,18066,47171
Union County,18,20821,47173
Van Buren County,,6199,47175
Warren County,13,42630,47177
Washington County,26455,131517,47179
Wayne,,16787,47181
Weakley,8,33073,47183
White County,4,28122,47185
Williamson,82,257714,47187
Wilson County,43,155766,47189
