CTYNAME,attendance,pop2022,fips
Anderson,6,79051,47001
Bedford,,51414,47003
Benton,14,15902,47005
Bledsoe,,15607,47007
Blount,3,138359,47009
Bradley,8,111290,47011
Campbell,,39983,47013
Cannon,3,15392,47015
Carroll,97,27143,47017
Carter,,56313,47019
Cheatham,21,41162,47021
Chester,80,17453,47023
Claiborne,,32286,47025
Clay,,7429,47027
Cocke,,36442,47029
Coffee,,58449,47031
Crockett,147,14032,47033
Cumberland,6,62866,47035
Davidson,284,705028,47037
Decatur,26,11555,47039
DeKalb,1,21561,47041
Dickson,12,55454,47043
Dyer,299,36778,47045
Fayette,3675,42864,47047
Fentress,,19126,47049
Franklin,16,43027,47051
Gibson,437,49019,47053
Giles,16,29518,47055
Grainger,,23869,47057
Greene,16,68784,47059
Grundy,3,13664,47061
Hamblen,6,65849,47063
Hamilton,59,378337,47065
Hancock,,6797,47067
Hardeman,665,24372,47069
Hardin,110,25529,47071
Hawkins,,57005,47073
Haywood,878,17175,47075
Henderson,147,28519,47077
Henry,66,32372,47079
Hickman,,25691,47081
Houston,,8102,47083
Humphreys,13,18675,47085
Jackson,,11813,47087
Jefferson,,55944,47089
Johnson,,17830,47091
Knox,84,482478,47093
Lake,13,5843,47095
Lauderdale,,24541,47097
Lawrence,15,45255,47099
Lewis,2,12850,47101
Lincoln,67,34897,47103
Loudon,4,57026,47105
Macon,,25541,47107
Madison,1056,99127,47109
Marion,20,29834,47111
Marshall,2,36082,47113
Maury,33,102729,47115
McMinn,,55168,47117
McNairy,496,25286,47119
Meigs,,12797,47121
Monroe,,47373,47123
Montgomery,66,220036,47125
Moore,,6581,47127
Morgan,3,21010,47129
Obion,14,29454,47131
Overton,,22760,47133
Perry,6,8154,47135
Pickett,,5033,47137
Polk,,16574,47139
Putnam,3,85087,47141
Rhea,13,33935,47143
Roane,3,53754,47145
Robertson,5,73715,47147
Rutherford,133,355199,47149
Scott,4,22188,47151
Sequatchie,,15431,47153
Sevier,,99315,47155
Shelby,195457,939569,47157
Smith,,20691,47159
Stewart,6,14003,47161
Sullivan,16,160595,47163
Sumner,29,202662,47165
Tipton,4116,61668,47167
Trousdale,,12037,47169
Unicoi,,18066,47171
Union,,20821,47173
Van Buren,,6199,47175
Warren,20,42630,47177
Washington,19,131517,47179
Wayne,8,16787,47181
Weakley,85,33073,47183
White,,28122,47185
Williamson,183,257714,47187
Wilson,19,155766,47189
