CTYNAME,attendance,pop2022,fips
Anderson,2550,79051,47001
Bedford,,51414,47003
Benton,,15902,47005
Bledsoe,,15607,47007
Blount,18012,138359,47009
Bradley,,111290,47011
Campbell,629,39983,47013
Cannon County,,15392,47015
Carroll,,27143,47017
Carter,,56313,47019
Cheatham,,41162,47021
Chester,,17453,47023
Claiborne,283,32286,47025
Clay County,,7429,47027
Cocke,428,36442,47029
Coffee,,58449,47031
Crockett,,14032,47033
Cumberland,230,62866,47035
Davidson,,705028,47037
Decatur,,11555,47039
DeKalb County,,21561,47041
Dickson,,55454,47043
Dyer,,36778,47045
Fayette,,42864,47047
Fentress,,19126,47049
Franklin,,43027,47051
Gibson,,49019,47053
Giles County,,29518,47055
Grainger,869,23869,47057
Greene,139,68784,47059
Grundy,,13664,47061
Hamblen,1399,65849,47063
Hamilton County,84,378337,47065
Hancock County,,6797,47067
Hardeman,,24372,47069
Hardin,,25529,47071
Hawkins,36,57005,47073
Haywood,,17175,47075
Henderson County,,28519,47077
Henry,,32372,47079
Hickman,,25691,47081
Houston County,,8102,47083
Humphreys,,18675,47085
Jackson,,11813,47087
Jefferson County,3579,55944,47089
Johnson,,17830,47091
Knox,87637,482478,47093
Lake,,5843,47095
Lauderdale County,,24541,47097
Lawrence,,45255,47099
Lewis County,,12850,47101
Lincoln,21,34897,47103
Loudon,1663,57026,47105
Macon,,25541,47107
Madison,,99127,47109
Marion County,,29834,47111
Marshall,,36082,47113
Maury,,102729,47115
McMinn County,504,55168,47117
McNairy,,25286,47119
Meigs,,12797,47121
Monroe,382,47373,47123
Montgomery,,220036,47125
Moore,,6581,47127
Morgan,48,21010,47129
Obion,,29454,47131
Overton,,22760,47133
Perry,,8154,47135
Pickett,,5033,47137
Polk,,16574,47139
Putnam,21,85087,47141
Rhea,,33935,47143
Roane County,666,53754,47145
Robertson,,73715,47147
Rutherford,,355199,47149
Scott,85,22188,47151
Sequatchie County,,15431,47153
Sevier,5538,99315,47155
Shelby,,939569,47157
Smith,,20691,47159
Stewart County,,14003,47161
Sullivan County,84,160595,47163
Sumner,,202662,47165
Tipton,,61668,47167
Trousdale County,,12037,47169
Unicoi,,18066,47171
Union County,1120,20821,47173
Van Buren County,,6199,47175
Warren County,,42630,47177
Washington County,,131517,47179
Wayne,,16787,47181
Weakley,,33073,47183
White County,,28122,47185
Williamson,,257714,47187
Wilson County,,155766,47189
